Hops,TotalCost,MaxCost,Count_AddMember,Count_AllExtendedRights,Count_DCSync,Count_ForceChangePassword,Count_GenericAll,Count_GenericWrite,Count_GetChanges,Count_GetChangesAll,Count_MemberOf,Count_Owns,Count_WriteDacl,Count_WriteOwner,Success
3,3,1,0,0,0,0,0,3,0,0,0,0,0,0,1
6,1,1,0,0,0,0,0,1,0,0,5,0,0,0,1
2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0
2,7,5,0,0,0,1,0,0,0,0,0,0,1,0,0
2,10,5,0,0,0,2,0,0,0,0,0,0,0,0,0
2,5,5,0,0,0,1,0,0,0,0,1,0,0,0,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3,4,2,0,0,0,0,0,0,0,0,1,1,1,0,0
4,4,1,0,0,0,0,4,0,0,0,0,0,0,0,1
3,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0
